2024-04-07 16:52:24,929 - root - INFO - Namespace(agg_method='attn', attn_mode='prod', bs=1000, data='mooc', drop_out=0.1, gpu=3, lr=0.0003, n_degree=20, n_epoch=15, n_head=2, n_layer=1, n_neg=1, new_node=False, node_dim=None, prefix='mooc', time='time', time_dim=None, tune=False, uniform=True)
2024-04-07 16:52:25,869 - root - INFO - Training use all train data
2024-04-07 16:52:28,421 - module - INFO - Aggregation uses attention model
2024-04-07 16:52:28,441 - module - INFO - Using scaled prod attention
2024-04-07 16:52:28,441 - module - INFO - Using time encoding
2024-04-07 16:52:31,626 - root - DEBUG - num of training instances: 349986
2024-04-07 16:52:31,626 - root - DEBUG - num of batches per epoch: 350
2024-04-07 16:52:31,634 - root - INFO - loading saved TGAN model
2024-04-07 16:52:32,059 - root - INFO - TGAN models loaded
2024-04-07 16:52:32,059 - root - INFO - Start training node classification task
2024-04-07 16:52:57,154 - root - INFO - train auc: 0.6188, test auc: 0.6223
2024-04-07 16:52:57,154 - root - INFO - train f1: 0.0136, test f1: 0.0172
2024-04-07 16:52:57,154 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:53:22,365 - root - INFO - train auc: 0.6348, test auc: 0.6249
2024-04-07 16:53:22,366 - root - INFO - train f1: 0.0143, test f1: 0.0181
2024-04-07 16:53:22,366 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:53:47,060 - root - INFO - train auc: 0.6376, test auc: 0.6337
2024-04-07 16:53:47,060 - root - INFO - train f1: 0.0143, test f1: 0.0182
2024-04-07 16:53:47,060 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:54:12,168 - root - INFO - train auc: 0.6421, test auc: 0.6275
2024-04-07 16:54:12,168 - root - INFO - train f1: 0.0145, test f1: 0.0175
2024-04-07 16:54:12,168 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:54:37,643 - root - INFO - train auc: 0.6426, test auc: 0.6358
2024-04-07 16:54:37,644 - root - INFO - train f1: 0.0146, test f1: 0.0181
2024-04-07 16:54:37,644 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:55:02,306 - root - INFO - train auc: 0.6431, test auc: 0.6499
2024-04-07 16:55:02,306 - root - INFO - train f1: 0.0147, test f1: 0.0190
2024-04-07 16:55:02,306 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:55:26,262 - root - INFO - train auc: 0.6498, test auc: 0.6449
2024-04-07 16:55:26,262 - root - INFO - train f1: 0.0152, test f1: 0.0185
2024-04-07 16:55:26,262 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:55:49,467 - root - INFO - train auc: 0.6563, test auc: 0.6460
2024-04-07 16:55:49,467 - root - INFO - train f1: 0.0164, test f1: 0.0193
2024-04-07 16:55:49,467 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:56:12,467 - root - INFO - train auc: 0.6574, test auc: 0.6486
2024-04-07 16:56:12,468 - root - INFO - train f1: 0.0171, test f1: 0.0195
2024-04-07 16:56:12,468 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:56:34,629 - root - INFO - train auc: 0.6622, test auc: 0.6630
2024-04-07 16:56:34,629 - root - INFO - train f1: 0.0180, test f1: 0.0209
2024-04-07 16:56:34,629 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:56:57,139 - root - INFO - train auc: 0.6679, test auc: 0.6403
2024-04-07 16:56:57,139 - root - INFO - train f1: 0.0187, test f1: 0.0197
2024-04-07 16:56:57,139 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:57:19,208 - root - INFO - train auc: 0.6646, test auc: 0.6590
2024-04-07 16:57:19,208 - root - INFO - train f1: 0.0188, test f1: 0.0206
2024-04-07 16:57:19,208 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:57:41,274 - root - INFO - train auc: 0.6712, test auc: 0.6568
2024-04-07 16:57:41,274 - root - INFO - train f1: 0.0192, test f1: 0.0209
2024-04-07 16:57:41,274 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:58:03,307 - root - INFO - train auc: 0.6743, test auc: 0.6542
2024-04-07 16:58:03,308 - root - INFO - train f1: 0.0195, test f1: 0.0205
2024-04-07 16:58:03,308 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:58:25,435 - root - INFO - train auc: 0.6717, test auc: 0.6594
2024-04-07 16:58:25,435 - root - INFO - train f1: 0.0194, test f1: 0.0216
2024-04-07 16:58:25,435 - root - INFO - train ap: 0.0000, test ap: 0.0000
2024-04-07 16:58:27,240 - root - INFO - test auc: 0.6468, test f1: 0.021283615582198805, test ap: 0.0000
